CCAA,Latitude,Longitude
Andalucía,37.1613900,-3.5999800
Aragón,41.6560593,-0.87734
Asturias,43.3579649, -5.8733862
Baleares,39.6099200,3.0294800
Canarias,28.0997300, -15.4134300
Cantabria,43.4647217,-3.80444
CastillaLaMancha,38.9942398,-1.8564301
CastillayLeón, 42.5735672,-5.5671588
Cataluña,41.8204600,1.8676800
Ceuta,35.888287, -5.316195
Cvalenciana,39.4697495,-0.37739
Extremadura,38.8685452,-6.8170906
Galicia,42.7550800,-7.8662100
Madrid,40.4165001, -3.7025599
Melilla,35.291937, -2.938484
Murcia,37.9870415,-1.13004
Navarra,42.8168716,-1.64323
PaísVasco,43.3839944,-2.5833373
LaRioja,42.466671,-2.45
